pv_pr,v_wind,power_wt,power_solar,e_ro_hourly,datetime,month,tank_level,water_produced,water_consumed,plants_operating
0,9.5,99067.16425948094,0.0,2400.0,2023-01-03 22:00:00,1,78259.67741935495,1600.0,943.5483870967741,2
0,9.0,84200.0,0.0,2400.0,2023-01-03 23:00:00,1,78916.12903225818,1600.0,943.5483870967741,2
0,7.1,41163.47548324705,0.0,2400.0,2023-01-04 00:00:00,1,79572.5806451614,1600.0,943.5483870967741,2
0,7.3,44804.04094011273,0.0,2400.0,2023-01-04 01:00:00,1,80229.03225806463,1600.0,943.5483870967741,2
0,7.9,56813.64373330922,0.0,2400.0,2023-01-04 02:00:00,1,80885.48387096786,1600.0,943.5483870967741,2
0,8.2,63550.715141494526,0.0,2400.0,2023-01-04 03:00:00,1,81541.93548387109,1600.0,943.5483870967741,2
0,7.3,44804.04094011273,0.0,2400.0,2023-01-04 04:00:00,1,82198.38709677431,1600.0,943.5483870967741,2
0,6.4,29618.603715120487,0.0,2400.0,2023-01-04 05:00:00,1,82854.83870967754,1600.0,943.5483870967741,2
0,4.7,10582.55789807325,0.0,2400.0,2023-01-04 06:00:00,1,83511.29032258077,1600.0,943.5483870967741,2
1,3.6,3092.368441977011,900.0,2400.0,2023-01-04 07:00:00,1,83367.741935484,800.0,943.5483870967741,1
175,3.5,2604.4881845912973,157500.0,2400.0,2023-01-04 08:00:00,1,84024.19354838722,1600.0,943.5483870967741,2
359,2.6,164.22161902798635,323100.0,2400.0,2023-01-04 09:00:00,1,84680.64516129045,1600.0,943.5483870967741,2
482,2.0,0.0,433800.0,2400.0,2023-01-04 10:00:00,1,85337.09677419368,1600.0,943.5483870967741,2
580,1.9,1.2224192885119507,522000.0,2400.0,2023-01-04 11:00:00,1,85993.5483870969,1600.0,943.5483870967741,2
603,1.9,1.2224192885119507,542700.0,2400.0,2023-01-04 12:00:00,1,86650.00000000013,1600.0,943.5483870967741,2
531,1.6,2.745081911044379,477900.0,2400.0,2023-01-04 13:00:00,1,87306.45161290336,1600.0,943.5483870967741,2
375,2.2,2.9686476111945375,337500.0,2400.0,2023-01-04 14:00:00,1,87962.90322580659,1600.0,943.5483870967741,2
167,2.8,402.7372952223888,150300.0,2400.0,2023-01-04 15:00:00,1,88619.35483870981,1600.0,943.5483870967741,2
24,2.2,2.9686476111945375,21600.0,2400.0,2023-01-04 16:00:00,1,89275.80645161304,1600.0,943.5483870967741,2
0,2.7,266.14330831443704,0.0,2400.0,2023-01-04 17:00:00,1,88332.25806451627,0.0,943.5483870967741,0
0,6.8,35980.188141743165,0.0,2400.0,2023-01-04 18:00:00,1,88988.7096774195,1600.0,943.5483870967741,2
0,7.5,48612.66557855038,0.0,2400.0,2023-01-04 19:00:00,1,89645.16129032272,1600.0,943.5483870967741,2
0,9.1,87062.79951170554,0.0,2400.0,2023-01-04 20:00:00,1,90301.61290322595,1600.0,943.5483870967741,2
0,10.1,118267.17070191594,0.0,2400.0,2023-01-04 21:00:00,1,90958.06451612918,1600.0,943.5483870967741,2
0,11.4,158752.50830609867,0.0,2400.0,2023-01-04 22:00:00,1,91614.5161290324,1600.0,943.5483870967741,2
0,12.3,178813.41361672946,0.0,2400.0,2023-01-04 23:00:00,1,92270.96774193563,1600.0,943.5483870967741,2
0,12.6,183475.29031698086,0.0,2400.0,2023-01-05 00:00:00,1,92927.41935483886,1600.0,943.5483870967741,2
0,12.9,187410.7190448516,0.0,2400.0,2023-01-05 01:00:00,1,93583.87096774208,1600.0,943.5483870967741,2
0,13.2,190829.88468935012,0.0,2400.0,2023-01-05 02:00:00,1,94240.32258064531,1600.0,943.5483870967741,2
0,13.9,196814.1449822126,0.0,2400.0,2023-01-05 03:00:00,1,94896.77419354854,1600.0,943.5483870967741,2
0,14.2,198352.54367064786,0.0,2400.0,2023-01-05 04:00:00,1,95553.22580645177,1600.0,943.5483870967741,2
0,14.6,199521.9510664421,0.0,2400.0,2023-01-05 05:00:00,1,96209.677419355,1600.0,943.5483870967741,2
0,14.8,199825.67923111815,0.0,2400.0,2023-01-05 06:00:00,1,96866.12903225822,1600.0,943.5483870967741,2
1,15.5,200098.34093290352,900.0,2400.0,2023-01-05 07:00:00,1,97522.58064516145,1600.0,943.5483870967741,2
151,15.2,200084.74062805838,135900.0,2400.0,2023-01-05 08:00:00,1,98179.03225806468,1600.0,943.5483870967741,2
332,15.0,200000.0,298800.0,2400.0,2023-01-05 09:00:00,1,98835.4838709679,1600.0,943.5483870967741,2
288,14.4,199045.38328620698,259200.0,2400.0,2023-01-05 10:00:00,1,99491.93548387113,1600.0,943.5483870967741,2
339,14.0,197400.0,305100.0,2400.0,2023-01-05 11:00:00,1,100148.38709677436,1600.0,943.5483870967741,2
403,14.4,199045.38328620698,362700.0,2400.0,2023-01-05 12:00:00,1,100804.83870967758,1600.0,943.5483870967741,2
307,13.8,196155.34730946922,276300.0,2400.0,2023-01-05 13:00:00,1,101461.29032258081,1600.0,943.5483870967741,2
328,13.1,189740.04801712325,295200.0,2400.0,2023-01-05 14:00:00,1,102117.74193548404,1600.0,943.5483870967741,2
278,13.1,189740.04801712325,250200.0,2400.0,2023-01-05 15:00:00,1,102774.19354838727,1600.0,943.5483870967741,2
102,13.9,196814.1449822126,91800.0,2400.0,2023-01-05 16:00:00,1,103430.6451612905,1600.0,943.5483870967741,2
3,14.0,197400.0,2700.0,2400.0,2023-01-05 17:00:00,1,104087.09677419372,1600.0,943.5483870967741,2
0,13.3,191866.6686029231,0.0,2400.0,2023-01-05 18:00:00,1,104743.54838709695,1600.0,943.5483870967741,2
0,13.0,188600.0,0.0,2400.0,2023-01-05 19:00:00,1,105400.00000000017,1600.0,943.5483870967741,2
0,11.2,153133.64502284338,0.0,2400.0,2023-01-05 20:00:00,1,106056.4516129034,1600.0,943.5483870967741,2
0,10.8,141006.56220295292,0.0,2400.0,2023-01-05 21:00:00,1,106712.90322580663,1600.0,943.5483870967741,2
0,11.3,155985.67693015918,0.0,2400.0,2023-01-05 22:00:00,1,107369.35483870986,1600.0,943.5483870967741,2
0,11.5,161427.63405418274,0.0,2400.0,2023-01-05 23:00:00,1,108025.80645161308,1600.0,943.5483870967741,2
0,11.7,166476.74828086785,0.0,2400.0,2023-01-06 00:00:00,1,108682.25806451631,1600.0,943.5483870967741,2
0,11.1,150202.9176806306,0.0,2400.0,2023-01-06 01:00:00,1,109338.70967741954,1600.0,943.5483870967741,2
0,9.5,99067.16425948094,0.0,2400.0,2023-01-06 02:00:00,1,109995.16129032277,1600.0,943.5483870967741,2
0,10.0,115000.0,0.0,2400.0,2023-01-06 03:00:00,1,110651.61290322599,1600.0,943.5483870967741,2
0,9.5,99067.16425948094,0.0,2400.0,2023-01-06 04:00:00,1,111308.06451612922,1600.0,943.5483870967741,2
0,10.3,124831.07866263397,0.0,2400.0,2023-01-06 05:00:00,1,111964.51612903245,1600.0,943.5483870967741,2
0,10.1,118267.17070191594,0.0,2400.0,2023-01-06 06:00:00,1,112620.96774193567,1600.0,943.5483870967741,2
1,9.8,108532.82462167795,900.0,2400.0,2023-01-06 07:00:00,1,113277.4193548389,1600.0,943.5483870967741,2
153,8.8,78663.73931033546,137700.0,2400.0,2023-01-06 08:00:00,1,113933.87096774213,1600.0,943.5483870967741,2
367,7.8,54684.21813698035,330300.0,2400.0,2023-01-06 09:00:00,1,114590.32258064536,1600.0,943.5483870967741,2
503,7.8,54684.21813698035,452700.0,2400.0,2023-01-06 10:00:00,1,115246.77419354858,1600.0,943.5483870967741,2
579,8.2,63550.715141494526,521100.0,2400.0,2023-01-06 11:00:00,1,115903.22580645181,1600.0,943.5483870967741,2
603,7.7,52609.23723185192,542700.0,2400.0,2023-01-06 12:00:00,1,116559.67741935504,1600.0,943.5483870967741,2
562,7.3,44804.04094011273,505800.0,2400.0,2023-01-06 13:00:00,1,117216.12903225826,1600.0,943.5483870967741,2
470,6.7,34327.06726471104,423000.0,2400.0,2023-01-06 14:00:00,1,117872.58064516149,1600.0,943.5483870967741,2
319,7.0,39400.0,287100.0,2400.0,2023-01-06 15:00:00,1,118529.03225806472,1600.0,943.5483870967741,2
125,7.0,39400.0,112500.0,2400.0,2023-01-06 16:00:00,1,119185.48387096795,1600.0,943.5483870967741,2
5,5.3,16049.764742273072,4500.0,2400.0,2023-01-06 17:00:00,1,119841.93548387117,1600.0,943.5483870967741,2
0,8.0,59000.0,0.0,2400.0,2023-01-06 18:00:00,1,120498.3870967744,1600.0,943.5483870967741,2
0,7.8,54684.21813698035,0.0,2400.0,2023-01-06 19:00:00,1,121154.83870967763,1600.0,943.5483870967741,2
0,6.7,34327.06726471104,0.0,2400.0,2023-01-06 20:00:00,1,121811.29032258085,1600.0,943.5483870967741,2
0,5.7,20327.29370930393,0.0,2400.0,2023-01-06 21:00:00,1,122467.74193548408,1600.0,943.5483870967741,2
0,5.7,20327.29370930393,0.0,2400.0,2023-01-06 22:00:00,1,123124.19354838731,1600.0,943.5483870967741,2
0,5.4,17061.882267463763,0.0,2400.0,2023-01-06 23:00:00,1,123780.64516129054,1600.0,943.5483870967741,2
0,4.8,11430.094674068967,0.0,2400.0,2023-01-07 00:00:00,1,124437.09677419376,1600.0,943.5483870967741,2
0,5.0,13200.0,0.0,2400.0,2023-01-07 01:00:00,1,125093.54838709699,1600.0,943.5483870967741,2
0,4.7,10582.55789807325,0.0,2400.0,2023-01-07 02:00:00,1,125750.00000000022,1600.0,943.5483870967741,2
0,4.2,6741.219877990008,0.0,2400.0,2023-01-07 03:00:00,1,126406.45161290345,1600.0,943.5483870967741,2
0,3.5,2604.4881845912973,0.0,2400.0,2023-01-07 04:00:00,1,126262.90322580667,800.0,943.5483870967741,1
0,2.9,579.0180392761431,0.0,2400.0,2023-01-07 05:00:00,1,125319.3548387099,0.0,943.5483870967741,0
0,3.9,4773.705423606915,0.0,2400.0,2023-01-07 06:00:00,1,125175.80645161313,800.0,943.5483870967741,1
4,3.1,1069.5260692988195,3600.0,2400.0,2023-01-07 07:00:00,1,125032.25806451635,800.0,943.5483870967741,1
147,2.6,164.22161902798635,132300.0,2400.0,2023-01-07 08:00:00,1,125688.70967741958,1600.0,943.5483870967741,2
361,2.0,0.0,324900.0,2400.0,2023-01-07 09:00:00,1,126345.16129032281,1600.0,943.5483870967741,2
406,1.4,2.401946672163831,365400.0,2400.0,2023-01-07 10:00:00,1,127001.61290322604,1600.0,943.5483870967741,2
